station,region,state,station_code,first date,height,longitude,latitude
JANAUBA,SE,MG,A563,11/19/2016,532,-43.29694444,-15.80277777
SOURE,N,PA,A227,4/27/2008,12.54,-48.51583333,-0.72777777
CALDAS,SE,MG,A530,11/28/2006,1150,-46.382996,-21.91805554
EIRUNEPE,N,AM,A109,8/31/2012,143,-69.86694443,-6.65027777
ARAGARCAS,CO,GO,A013,7/13/2007,347,-52.24388888,-15.902658
ALTO ARAGUAIA,CO,MT,A909,9/22/2011,753.28,-53.22416666,-17.33944444
PIRIPIRI,NE,PI,A335,8/31/2007,161.2,-41.77805554,-4.26388888
ESPERANTINA,NE,PI,A338,12/3/2007,65,-42.23694444,-3.90083333
SAO PAULO - MIRANTE,SE,SP,A701,7/25/2006,792.06,-46.61666666,-23.48333333
CHAPADAO DO SUL,CO,MS,A730,12/20/2006,820.82,-52.6025,-18.802187
AGUA CLARA,CO,MS,A756,8/14/2010,338,-52.87555554,-20.44444
ITIRUCU,NE,BA,A407,2/9/2003,757.42,-40.11972221,-13.527828
ARACAJU,NE,SE,A409,2/12/2003,4.72,-37.05,-10.95027777
MAJOR VIEIRA,S,SC,A864,2/9/2009,808,-50.363211,-26.3936111
SANTA ISABEL DO RIO NEGRO,N,AM,S121,12/1/2016,-9999,-65.01749999,-0.41444444
SERAFINA CORREA,S,RS,A894,4/1/2016,545,-51.87055554,-28.70472222
FORMIGA,SE,MG,A524,8/17/2006,878.14,-45.453825,-20.45472222
SAO JOSE DO XINGU,CO,MT,A942,2/19/2019,300,-52.37249999,-10.48416666
CAMPINA DA LAGOA,S,PR,B803,8/4/2016,598,-52.800256,-24.57083332
ITAPETINGA,NE,BA,A446,6/25/2009,271.48,-40.22944443,-15.24462
PEIXE,N,TO,A018,12/1/2006,250.87,-48.544517,-12.015377
HUMAITA,N,AM,A112,4/25/2008,72,-63.071343,-7.55252
TERESOPOLIS-PARQUE NACIONAL,SE,RJ,A618,1/1/2019,981,-42.98694444,-22.4486111
JOAQUIM TAVORA,S,PR,A821,11/23/2006,522,-49.946387,-23.505266
SANTA TERESA,SE,ES,A613,8/9/2007,988,-40.57944443,-19.98833333
SORRISO,CO,MT,A904,12/16/2002,380,-55.71666666,-12.55
POSSE,CO,GO,A017,4/18/2007,834,-46.36638888,-14.08916666
ICARAIMA,S,PR,A824,11/16/2006,385,-53.63472221,-23.39027777
ECOPORANGA,SE,ES,A631,3/17/2017,224,-40.73638888,-18.29138888
ILHEUS,NE,BA,A410,1/25/2003,80.21,-39.1811111,-14.658803
ARAGUACU,N,TO,A054,8/19/2015,231,-49.5286111,-12.592213
UBERABA,SE,MG,A568,5/19/2017,778,-47.96166666,-19.71
BURITICUPU,NE,MA,A238,9/11/2008,175,-46.449503,-4.32055554
AUTAZES,N,AM,A120,4/17/2008,78,-59.12944,-2.05638888
RIO DO CAMPO,S,SC,A861,3/10/2008,592,-50.145445,-26.93749999
RIO BRILHANTE,CO,MS,A743,6/26/2008,329,-54.52805554,-21.77472221
IGUAPE,SE,SP,A712,7/20/2006,2.7,-47.545896,-24.671654
RIO DE JANEIRO-MARAMBAIA,SE,RJ,A602,1/1/2019,12,-43.59555555,-23.05027777
SANTA CRUZ,NE,RN,A367,8/17/2010,237,-36.02638888,-6.22777777
PAULISTANA,NE,PI,A330,8/31/2007,376,-41.07999999,-8.07999999
GOIAS,CO,GO,A014,7/18/2007,512.86,-50.14138888,-15.93916666
CRISTALINA,CO,GO,A036,12/14/2007,1211.08,-47.61166666,-16.784896
